datetime,NT,KLN,HKI,Total
1/8/2017,129,367,70,566
2/8/2017,8,18,4,30
3/8/2017,143,242,43,428
4/8/2017,101,356,72,529
5/8/2017,5,65,52,122
6/8/2017,0,0,0,0
7/8/2017,162,407,57,626
8/8/2017,146,337,79,562
9/8/2017,71,79,71,221
10/8/2017,47,359,60,466
11/8/2017,121,192,52,365
12/8/2017,34,231,56,321
13/8/2017,1,0,0,1
14/8/2017,150,305,72,527
15/8/2017,110,241,60,411
16/8/2017,82,222,65,369
17/8/2017,162,236,63,461
18/8/2017,12,54,34,100
19/8/2017,83,212,39,334
20/8/2017,0,0,0,0
21/8/2017,113,459,74,646
22/8/2017,100,334,100,534
23/8/2017,0,0,0,0
24/8/2017,157,298,71,526
25/8/2017,191,310,85,586
26/8/2017,4,56,48,108
27/8/2017,1,0,0,1
28/8/2017,193,400,96,689
29/8/2017,12,90,57,159
30/8/2017,141,321,63,525
31/8/2017,53,93,60,206
1/9/2017,87,193,50,330
2/9/2017,79,197,54,330
3/9/2017,0,1,0,1
4/9/2017,70,44,13,127
5/9/2017,62,414,76,552
6/9/2017,88,220,46,354
7/9/2017,63,209,40,312
8/9/2017,84,186,48,318
9/9/2017,169,393,93,655
10/9/2017,2,0,0,2
11/9/2017,88,267,60,415
12/9/2017,86,153,65,304
13/9/2017,64,256,57,377
14/9/2017,109,357,54,520
15/9/2017,65,187,37,289
16/9/2017,87,240,58,385
17/9/2017,1,1,0,2
18/9/2017,82,93,37,212
19/9/2017,88,252,60,400
20/9/2017,56,134,16,206
21/9/2017,47,191,50,288
22/9/2017,211,528,99,838
23/9/2017,73,185,30,288
24/9/2017,0,1,0,1
25/9/2017,124,286,63,473
26/9/2017,37,119,52,208
27/9/2017,63,223,59,345
28/9/2017,102,219,53,374
29/9/2017,76,194,48,318
30/9/2017,36,124,10,170
1/10/2017,0,0,0,0
2/10/2017,0,0,0,0
3/10/2017,53,196,40,289
4/10/2017,67,84,37,188
5/10/2017,0,0,0,0
6/10/2017,0,0,1,1
7/10/2017,67,178,35,280
8/10/2017,0,10,0,10
9/10/2017,119,326,99,544
10/10/2017,210,566,118,894
11/10/2017,104,274,72,450
12/10/2017,115,338,62,515
13/10/2017,81,202,45,328
14/10/2017,69,96,42,207
15/10/2017,0,0,0,0
16/10/2017,85,187,32,304
17/10/2017,127,393,100,620
18/10/2017,75,183,60,318
19/10/2017,84,198,32,314
20/10/2017,71,324,55,450
21/10/2017,60,199,62,321
22/10/2017,0,0,0,0
23/10/2017,104,310,64,478
24/10/2017,124,337,83,544
25/10/2017,97,233,61,391
26/10/2017,76,69,36,181
27/10/2017,64,178,33,275
28/10/2017,0,0,0,0
29/10/2017,0,0,0,0
30/10/2017,114,339,45,498
31/10/2017,151,245,113,509
1/11/2017,59,201,48,308
2/11/2017,106,358,49,513
3/11/2017,59,73,25,157
4/11/2017,113,283,60,456
5/11/2017,0,0,0,0
6/11/2017,47,275,53,375
7/11/2017,162,343,95,600
8/11/2017,88,192,47,327
9/11/2017,65,167,38,270
10/11/2017,73,208,33,314
11/11/2017,48,79,36,163
12/11/2017,0,2,0,2
13/11/2017,70,255,34,359
14/11/2017,95,232,67,394
15/11/2017,71,188,33,292
16/11/2017,99,227,49,375
17/11/2017,68,272,61,401
18/11/2017,153,182,86,421
19/11/2017,0,8,0,8
20/11/2017,247,932,164,1343
21/11/2017,40,25,6,71
22/11/2017,78,220,20,318
23/11/2017,166,376,121,663
24/11/2017,236,452,107,795
25/11/2017,81,258,50,389
26/11/2017,2,0,0,2
27/11/2017,98,264,60,422
28/11/2017,176,395,91,662
29/11/2017,119,212,57,388
30/11/2017,99,231,51,381
1/12/2017,148,196,59,403
2/12/2017,71,229,47,347
3/12/2017,0,0,0,0
4/12/2017,114,210,53,377
5/12/2017,133,297,79,509
6/12/2017,96,231,56,383
7/12/2017,68,189,43,300
8/12/2017,82,189,44,315
9/12/2017,89,242,44,375
10/12/2017,0,0,0,0
11/12/2017,159,439,105,703
12/12/2017,207,334,122,663
13/12/2017,140,383,57,580
14/12/2017,119,244,98,461
15/12/2017,86,171,30,287
16/12/2017,77,195,42,314
17/12/2017,0,2,0,2
18/12/2017,111,280,65,456
19/12/2017,238,574,127,939
20/12/2017,133,408,106,647
21/12/2017,185,435,66,686
22/12/2017,88,226,64,378
23/12/2017,115,220,41,376
24/12/2017,0,1,0,1
25/12/2017,0,0,0,0
26/12/2017,0,0,0,0
27/12/2017,233,582,137,952
28/12/2017,89,177,58,324
29/12/2017,81,243,44,368
30/12/2017,54,209,45,308
31/12/2017,0,0,0,0
1/1/2018,0,0,0,0
2/1/2018,61,166,39,266
3/1/2018,101,233,64,398
4/1/2018,129,309,74,512
5/1/2018,101,232,57,390
6/1/2018,59,187,49,295
7/1/2018,0,0,0,0
8/1/2018,0,74,2,76
9/1/2018,119,343,93,555
10/1/2018,76,241,46,363
11/1/2018,150,399,80,629
12/1/2018,89,205,64,358
13/1/2018,82,164,27,273
14/1/2018,0,0,0,0
15/1/2018,9,16,13,38
16/1/2018,155,468,43,666
17/1/2018,5,42,43,90
18/1/2018,151,332,98,581
19/1/2018,79,220,42,341
20/1/2018,82,207,51,340
21/1/2018,0,0,0,0
22/1/2018,81,231,52,364
23/1/2018,90,352,61,503
24/1/2018,101,240,57,398
25/1/2018,89,193,45,327
26/1/2018,66,190,36,292
27/1/2018,93,205,45,343
28/1/2018,0,0,0,0
29/1/2018,56,195,42,293
30/1/2018,133,359,92,584
31/1/2018,61,211,56,328
1/2/2018,58,144,30,232
2/2/2018,84,206,57,347
3/2/2018,98,220,42,360
4/2/2018,0,0,0,0
5/2/2018,129,318,63,510
6/2/2018,113,470,86,669
7/2/2018,108,255,50,413
8/2/2018,149,320,62,531
9/2/2018,72,231,71,374
10/2/2018,2,8,2,12
11/2/2018,0,0,0,0
12/2/2018,201,542,89,832
13/2/2018,18,13,2,33
14/2/2018,1,19,2,22
15/2/2018,7,6,1,14
16/2/2018,0,0,0,0
17/2/2018,0,0,0,0
18/2/2018,0,0,0,0
19/2/2018,0,0,0,0
20/2/2018,0,0,0,0
21/2/2018,0,0,0,0
22/2/2018,0,0,0,0
23/2/2018,0,0,0,0
24/2/2018,4,4,0,8
25/2/2018,0,0,0,0
26/2/2018,5,33,7,45
27/2/2018,37,74,22,133
28/2/2018,80,266,53,399
1/3/2018,121,249,57,427
2/3/2018,39,334,30,403
3/3/2018,56,79,20,155
4/3/2018,1,0,0,1
5/3/2018,80,208,50,338
6/3/2018,146,398,74,618
7/3/2018,68,230,46,344
8/3/2018,77,238,60,375
9/3/2018,109,222,66,397
10/3/2018,68,153,40,261
11/3/2018,0,0,0,0
12/3/2018,100,243,49,392
13/3/2018,148,298,59,505
14/3/2018,92,225,51,368
15/3/2018,92,238,41,371
16/3/2018,101,237,53,391
17/3/2018,113,223,55,391
18/3/2018,0,15,0,15
19/3/2018,120,256,62,438
20/3/2018,150,317,64,531
21/3/2018,97,225,48,370
22/3/2018,41,39,22,102
23/3/2018,161,375,62,598
24/3/2018,37,20,14,71
25/3/2018,0,0,0,0
26/3/2018,141,373,94,608
27/3/2018,163,342,84,589
28/3/2018,119,231,58,408
29/3/2018,82,188,42,312
30/3/2018,33,25,14,72
31/3/2018,16,45,27,88
1/4/2018,0,0,0,0
2/4/2018,0,1,0,1
3/4/2018,238,528,85,851
4/4/2018,49,98,58,205
5/4/2018,0,0,0,0
6/4/2018,154,297,86,537
7/4/2018,61,153,37,251
8/4/2018,0,0,0,0
9/4/2018,90,199,36,325
10/4/2018,178,369,68,615
11/4/2018,137,208,59,404
12/4/2018,96,197,20,313
13/4/2018,70,201,77,348
14/4/2018,132,299,74,505
15/4/2018,0,0,0,0
16/4/2018,112,165,38,315
17/4/2018,156,355,83,594
18/4/2018,106,205,40,351
19/4/2018,14,16,0,30
20/4/2018,169,380,95,644
21/4/2018,79,174,37,290
22/4/2018,0,0,0,0
23/4/2018,92,140,40,272
24/4/2018,129,379,89,597
25/4/2018,124,172,47,343
26/4/2018,104,169,58,331
27/4/2018,81,165,20,266
28/4/2018,72,160,22,254
29/4/2018,0,0,0,0
30/4/2018,86,154,28,268
1/5/2018,0,0,0,0
2/5/2018,169,353,101,623
3/5/2018,102,216,58,376
4/5/2018,141,198,45,384
5/5/2018,75,161,31,267
6/5/2018,0,0,0,0
7/5/2018,101,168,41,310
8/5/2018,162,320,80,562
9/5/2018,125,216,66,407
10/5/2018,81,202,48,331
11/5/2018,99,170,28,297
12/5/2018,91,197,49,337
13/5/2018,0,0,0,0
14/5/2018,135,201,50,386
15/5/2018,104,377,92,573
16/5/2018,139,205,41,385
17/5/2018,72,180,23,275
18/5/2018,109,148,55,312
19/5/2018,80,164,30,274
20/5/2018,0,0,0,0
21/5/2018,103,160,49,312
22/5/2018,35,58,16,109
23/5/2018,227,481,86,794
24/5/2018,79,156,29,264
25/5/2018,86,178,16,280
26/5/2018,72,162,32,266
27/5/2018,0,0,0,0
28/5/2018,94,156,44,294
29/5/2018,199,402,98,699
30/5/2018,113,169,24,306
31/5/2018,89,172,67,328
1/6/2018,72,168,31,271
2/6/2018,97,182,33,312
3/6/2018,0,0,0,0
4/6/2018,70,163,31,264
5/6/2018,198,360,94,652
6/6/2018,101,177,38,316
7/6/2018,92,188,49,329
8/6/2018,81,186,47,314
9/6/2018,91,198,20,309
10/6/2018,0,1,0,1
11/6/2018,109,203,57,369
12/6/2018,122,386,91,599
13/6/2018,181,176,39,396
14/6/2018,104,166,34,304
15/6/2018,93,185,55,333
16/6/2018,83,176,25,284
17/6/2018,0,0,0,0
18/6/2018,0,0,0,0
19/6/2018,108,173,73,354
20/6/2018,119,256,25,400
21/6/2018,217,349,105,671
22/6/2018,72,186,45,303
23/6/2018,75,89,53,217
24/6/2018,0,0,0,0
25/6/2018,133,332,45,510
26/6/2018,0,1,0,1
27/6/2018,282,543,143,968
28/6/2018,158,228,50,436
29/6/2018,114,143,47,304
30/6/2018,89,195,25,309
1/7/2018,0,0,0,0
2/7/2018,0,0,0,0
3/7/2018,92,185,50,327
4/7/2018,241,455,128,824
5/7/2018,109,188,31,328
6/7/2018,92,173,42,307
7/7/2018,89,180,29,298
8/7/2018,0,0,0,0
9/7/2018,104,159,39,302
10/7/2018,179,398,70,647
11/7/2018,104,217,42,363
12/7/2018,81,168,25,274
13/7/2018,116,200,33,349
14/7/2018,99,166,15,280
15/7/2018,0,1,0,1
16/7/2018,116,204,83,403
17/7/2018,175,325,88,588
18/7/2018,115,155,22,292
19/7/2018,119,154,50,323
20/7/2018,104,198,38,340
21/7/2018,112,192,37,341
22/7/2018,0,0,0,0
23/7/2018,125,160,40,325
24/7/2018,188,268,84,540
25/7/2018,136,224,21,381
26/7/2018,117,221,72,410
27/7/2018,93,179,41,313
28/7/2018,100,185,37,322
29/7/2018,2,0,0,2
30/7/2018,119,161,18,298
31/7/2018,189,336,81,606
1/8/2018,123,165,62,350
2/8/2018,119,155,66,340
3/8/2018,131,214,24,369
4/8/2018,104,185,57,346
5/8/2018,0,2,0,2
6/8/2018,73,150,12,235
7/8/2018,179,355,60,594
8/8/2018,149,170,66,385
